State: 66, SolnCost: 19.00, # Moves: 19, # Nodes Gen: 3,854,353, Time: 36.37
State: 67, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 4,214,353, Time: 36.21
State: 68, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 7,934,353, Time: 70.14
State: 69, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 18,254,353, Time: 171.71
State: 70, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 4,934,353, Time: 45.26
State: 71, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 2,054,353, Time: 18.31
State: 72, SolnCost: 18.00, # Moves: 18, # Nodes Gen: 2,054,353, Time: 18.51
State: 73, SolnCost: 23.00, # Moves: 23, # Nodes Gen: 15,854,353, Time: 147.45
State: 74, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,534,353, Time: 22.24
State: 75, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 3,014,353, Time: 25.81
State: 76, SolnCost: 23.00, # Moves: 23, # Nodes Gen: 29,654,353, Time: 288.74
State: 77, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,174,353, Time: 19.38
State: 78, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 5,774,353, Time: 53.45
State: 79, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 7,694,353, Time: 70.21
State: 80, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 8,054,353, Time: 75.26
State: 81, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 4,574,353, Time: 41.37
State: 82, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 3,134,353, Time: 27.00
State: 83, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 10,454,353, Time: 98.81
State: 84, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 9,494,353, Time: 85.92
State: 85, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 9,134,353, Time: 85.36
State: 86, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 3,134,353, Time: 27.40
State: 87, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 7,934,353, Time: 73.52
State: 88, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 9,254,353, Time: 85.88
State: 89, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 12,494,353, Time: 116.57
State: 90, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 4,574,353, Time: 40.17
State: 91, SolnCost: 23.00, # Moves: 23, # Nodes Gen: 15,854,353, Time: 149.06
State: 92, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 5,054,353, Time: 46.09
State: 93, SolnCost: 19.00, # Moves: 19, # Nodes Gen: 1,934,353, Time: 17.10
State: 94, SolnCost: 23.00, # Moves: 23, # Nodes Gen: 15,134,353, Time: 141.65
State: 95, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,534,353, Time: 21.82
State: 96, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 8,414,353, Time: 75.67
State: 97, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,174,353, Time: 18.50
State: 98, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 8,894,353, Time: 82.95
State: 99, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 6,494,353, Time: 59.80
State: 100, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 6,494,353, Time: 60.40
State: 101, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 2,054,353, Time: 18.03
State: 102, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,774,353, Time: 25.02
State: 103, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 10,934,353, Time: 102.33
State: 104, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,894,353, Time: 25.93
State: 105, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 4,934,353, Time: 43.86
State: 106, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 12,014,353, Time: 110.98
State: 107, SolnCost: 17.00, # Moves: 17, # Nodes Gen: 1,694,353, Time: 14.98
State: 108, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 9,854,353, Time: 90.74
State: 109, SolnCost: 24.00, # Moves: 24, # Nodes Gen: 16,814,353, Time: 160.53
State: 110, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,174,353, Time: 18.77
State: 111, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 6,494,353, Time: 59.23
State: 112, SolnCost: 23.00, # Moves: 23, # Nodes Gen: 9,974,353, Time: 92.30
State: 113, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 5,174,353, Time: 47.29
State: 114, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 6,014,353, Time: 54.13
State: 115, SolnCost: 23.00, # Moves: 23, # Nodes Gen: 20,654,353, Time: 198.59
State: 116, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 40,574,353, Time: 390.90
State: 117, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 25,574,353, Time: 242.98
State: 118, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 2,054,353, Time: 17.56
State: 119, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 2,054,353, Time: 17.72
State: 120, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 3,974,353, Time: 35.08
State: 121, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,654,353, Time: 23.62
State: 122, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,174,353, Time: 18.61
State: 123, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,174,353, Time: 19.66
State: 124, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 5,174,353, Time: 47.03
State: 125, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 5,054,353, Time: 46.60
State: 126, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 14,294,353, Time: 133.79
State: 127, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 5,174,353, Time: 48.11
State: 128, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 3,494,353, Time: 30.45
State: 129, SolnCost: 23.00, # Moves: 23, # Nodes Gen: 17,774,353, Time: 169.72
State: 130, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 4,694,353, Time: 43.48
State: 131, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 3,974,353, Time: 35.35
State: 132, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 30,014,353, Time: 295.53
State: 133, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 4,214,353, Time: 37.01
State: 134, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 7,814,353, Time: 72.78
State: 135, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 5,414,353, Time: 47.83
State: 136, SolnCost: 23.00, # Moves: 23, # Nodes Gen: 21,974,353, Time: 205.61
State: 137, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 14,894,353, Time: 134.12
State: 138, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 4,214,353, Time: 36.73
State: 139, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 5,414,353, Time: 48.73
State: 140, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 9,374,353, Time: 87.18
State: 141, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 2,054,353, Time: 18.24
State: 142, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 19,214,353, Time: 176.74
State: 143, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 2,294,353, Time: 20.06
State: 144, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 9,854,353, Time: 88.19
State: 145, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 13,454,353, Time: 122.17
State: 146, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 11,054,353, Time: 100.46
State: 147, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 2,054,353, Time: 18.37
State: 148, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 2,894,353, Time: 25.38
State: 149, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 5,054,353, Time: 45.20
State: 150, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 18,014,353, Time: 168.20
State: 151, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 4,934,353, Time: 43.72
State: 152, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,534,353, Time: 21.88
State: 153, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 9,374,353, Time: 82.63
State: 154, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 6,014,353, Time: 53.22
State: 155, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 3,974,353, Time: 34.88
State: 156, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 3,134,353, Time: 27.37
